Name,Link,Tags,Actors,Director,Decade,Genre,Similar Stuff
Amistad,https://www.youtube.com/watch?v=DoWeNWZAU48,"slavery, historical drama, legal battle, 19th century, Steven Spielberg","Djimon Hounsou, Matthew McConaughey, Anthony Hopkins, Morgan Freeman, Nigel Hawthorne",Steven Spielberg,1990,Drama,"12 Years a Slave, Roots, Glory, Lincoln, The Birth of a Nation, Django Unchained, The Color Purple"
Anatomy of a Murder,https://www.youtube.com/watch?v=lD10cI9Qwts,Loading...,"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell, Eve Arden",Otto Preminger,1950,Crime,"12 Angry Men, Witness for the Prosecution, To Kill a Mockingbird, A Few Good Men, The Verdict, Primal Fear, Courtroom Drama"
Anchorman: The Legend of Ron Burgundy (Extended Cut),https://www.youtube.com/watch?v=eQIRDLOoGHk,Loading...,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell, David Koechner",Adam McKay,2000,Comedy,"Talladega Nights: The Ballad of Ricky Bobby, Step Brothers, The Other Guys, Old School, Zoolander"
Aparajito,https://www.youtube.com/watch?v=zGMsXo6RgKI,Loading...,"Kanu Bannerjee, Karuna Bannerjee, Pinaki Sengupta, Smaran Ghosal, Ramani Sengupta",Satyajit Ray,1950,Drama,"Pather Panchali, Charulata, The World of Apu, The Music Room, Mahanagar"
Apocalypse Now,https://www.youtube.com/watch?v=mxDZigAa6j4,"war, psychological, epic, Vietnam, surreal","Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest, Sam Bottoms",Francis Ford Coppola,1970,War,"Full Metal Jacket, Platoon, The Deer Hunter, Heart of Darkness, Saving Private Ryan"
Apur Sansar,https://www.youtube.com/watch?v=-o6yqITx3PU,"drama, family-relationships, coming-of-age, Indian-cinema, Satyajit-Ray","Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty, Swapan Mukherjee, Dhiresh Majumdar",Satyajit Ray,1950,Drama,"Pather Panchali, Aparajito, Charulata, The Music Room, The Big City"
Arjun,https://www.youtube.com/watch?v=Fes-kkM31nI,"action, drama, crime, thriller, Bollywood","Allu Arjun, Anu Emmanuel, Arjun Sarja, Sarath Kumar, Boman Irani","Rajesh Ram Singh, Pradeep Gupta, Pawan Kumar",2010,Action,"Mahabharat, Bheeshma, Eklavya: The Royal Guard, Ashoka the Great, Jodhaa Akbar"
Around the World in 80 Days (1956),https://www.youtube.com/watch?v=0NTZ5S-XNy4,Loading...,"David Niven, Cantinflas, Shirley MacLaine, Robert Newton, Charles Boyer",Michael Anderson,1950,Adventure,"The Great Race, Journey to the Center of the Earth, 20,000 Leagues Under the Sea, The Time Machine, Gulliver's Travels"
Asterix : The Mansion of the Gods,https://youtu.be/8Ql2YjAeymk?si=3rdVyN3dttfrQNF_,"animation, adventure, comedy, family, historical","Roger Carel, Lorànt Deutsch, Laurent Lafitte, Alexandre Astier, Alain Chabat","Alexandre Astier, Louis Clichy",2010,Animation,"Asterix and Obelix: Mission Cleopatra, Asterix at the Olympic Games, Asterix and Obelix vs. Caesar, The Adventures of Tintin, The Twelve Tasks of Asterix"
Asterix : The Secret of the Magic Potion,https://www.youtube.com/watch?v=VKn-UrKmX0M,"animation, adventure, comedy, family, fantasy","Christian Clavier, Guillaume Briat, Alex Lutz, Alexandre Astier, Elie Semoun","Alexandre Astier, Louis Clichy",2010,Animation,"Asterix and Obelix: Mansion of the Gods, Asterix at the Olympic Games, Asterix and Cleopatra, The Adventures of Tintin, The Twelve Tasks of Asterix"
Asterix and Cleopatra,https://www.youtube.com/watch?v=fb_jznu6bsA,"animation, adventure, comedy, historical, family","Roger Carel, Jacques Morel, Micheline Dax, Jacques Balutin, Pierre Tornade","René Goscinny, Albert Uderzo, Lee Payant",1960,Animation,"Asterix the Gaul, Asterix at the Olympic Games, Asterix and the Vikings, The Twelve Tasks of Asterix, Asterix in Britain"
Asterix at the Olympic Games,https://www.youtube.com/watch?v=Dnlx3GlujAE,"comedy, adventure, fantasy, family, historical","Gérard Depardieu, Clovis Cornillac, Benoît Poelvoorde, Alain Delon, Vanessa Hessler","Frédéric Forestier, Thomas Langmann",2000,Comedy,"Asterix and Obelix vs. Caesar, Asterix and Obelix: Mission Cleopatra, Asterix: The Mansions of the Gods, Asterix: The Secret of the Magic Potion, The Twelve Tasks of Asterix"
Asterix in Britain,https://www.youtube.com/watch?v=XUTwVJOL8HA,Loading...,"Roger Carel, Pierre Tornade, Graham Bushnell, Pierre Mondy, Maurice Risch",Pino Van Lamsweerde,1980,Animation,"Asterix: The Secret of the Magic Potion, Asterix and Cleopatra, Asterix and the Vikings, Asterix Conquers America, Asterix at the Olympic Games"
Asterix the Gaul,https://www.youtube.com/watch?v=Z-DAjVbvqIg,Loading...,"Roger Carel, Jacques Morel, Pierre Tornade, Jacques Jouanneau, Lucien Raimbourg",Ray Goossens,1960,Animation,"Asterix and Cleopatra, The Twelve Tasks of Asterix, Asterix in Britain, Asterix and the Big Fight, Asterix Conquers America, Asterix and the Vikings, Asterix: The Mansions of the Gods, Asterix: The Secret of the Magic Potion"
Asterix vs Caesar,https://www.youtube.com/watch?v=nirlrnX04d0,Loading...,"Roger Carel, Pierre Tornade, Pierre Mondy, Serge Sauvion, Henri Labussière","Paul Brizzi, Gaëtan Brizzi",1980,Animation,"Asterix and Cleopatra, Asterix and the Vikings, Asterix: The Secret of the Magic Potion, Asterix: The Mansions of the Gods, Asterix in Britain, Asterix Conquers America"
Austin Powers in Goldmember,https://www.youtube.com/watch?v=WrHzT2-DeIE,Loading...,"Mike Myers, Beyoncé Knowles, Seth Green, Michael York, Robert Wagner",Jay Roach,2000,Comedy,"Austin Powers: International Man of Mystery, Austin Powers: The Spy Who Shagged Me, Johnny English, Johnny English Reborn, Johnny English Strikes Again, The Naked Gun: From the Files of Police Squad!, The Naked Gun 2½: The Smell of Fear, The Naked Gun 33⅓: The Final Insult, Spy, Get Smart"
Austin Powers: International Man of Mystery,https://www.youtube.com/watch?v=DsgXsrxPmxs,Loading...,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner",Jay Roach,1990,Comedy,"Austin Powers: The Spy Who Shagged Me, Austin Powers in Goldmember, Johnny English, The Naked Gun: From the Files of Police Squad!, Spy Hard, Get Smart"
Austin Powers: The Spy Who Shagged Me,https://www.youtube.com/watch?v=DKfZeOHm58M,"comedy, spy, parody, 1990s, Mike Myers","Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe",Jay Roach,1990,Comedy,"Johnny English, Spy Hard, The Naked Gun: From the Files of Police Squad!, Get Smart, Austin Powers: International Man of Mystery, Austin Powers in Goldmember"
Awake,https://www.youtube.com/watch?v=rmZKf4p5ykE,Loading...,"Jonathan Rhys Meyers, Francesca Eastwood, William Forsythe, Malik Yoba, James Austin Kerr",Mark Raso,2010,Thriller,"Inception, The Matrix, Source Code, Memento, Shutter Island, The Adjustment Bureau, Minority Report"
Back to the Future,https://youtu.be/X1W4CNIiSzA?si=-dIIuEZB1wHtY3jL,"time-travel, adventure, comedy, sci-fi, family","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson",Robert Zemeckis,1980,Sci-fi,"Bill & Ted's Excellent Adventure,The Terminator,Groundhog Day,Time Bandits,Looper,The Time Machine,Hot Tub Time Machine,Interstellar,About Time,12 Monkeys"
Back to the Future 2,https://youtu.be/TDxg5uZ0ARA?si=9bL5Frhn3UUZbyut,Loading...,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson, Elisabeth Shue",Robert Zemeckis,1980,Sci-fi,"Back to the Future, Back to the Future Part III, Bill & Ted's Excellent Adventure, The Time Machine, Timecop, Hot Tub Time Machine, About Time, Looper"
Back to the Future 3,https://youtu.be/b9cjBYTQiFc?si=w9yVWENByftuOeuV,Loading...,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson, Lea Thompson",Robert Zemeckis,1980,Western,"Back to the Future,Back to the Future Part II,Timecop,Bill & Ted's Excellent Adventure,Bill & Ted's Bogus Journey,Looper,The Time Machine,Hot Tub Time Machine"
Baraka,https://www.youtube.com/watch?v=bbykhJ8aTz0,"documentary, visual, cultural, global, non-narrative",#ERROR!,Ron Fricke,1990,Documentary,"Samsara, Koyaanisqatsi, Powaqqatsi, Chronos, Microcosmos, Visitors, The Qatsi Trilogy"
Basic Instinct,https://www.youtube.com/watch?v=WiETSAk4b9w,Loading...,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt",Paul Verhoeven,1990,Thriller,"Fatal Attraction, Body Heat, Sliver, Disclosure, Jade, The Last Seduction, Unfaithful, Indecent Proposal"
Batman · S1,https://www.youtube.com/show/SC5SGTfkHNHKRl7qOjGUPtGA?season=1&sbp=CgEx,"superhero, crime-fighting, dark, vigilante, Gotham City","Adam West, Burt Ward, Alan Napier, Neil Hamilton, Stafford Repp","Tim Burton, Joel Schumacher",1960,Superhero,"Gotham, Arrow, Daredevil, The Flash, Watchmen"
Battle for the Planet of the Apes,https://www.youtube.com/watch?v=ijsr-ruXLBQ,"post-apocalyptic, sci-fi, action, dystopian, sequel","Roddy McDowall, Claude Akins, Natalie Trundy, Severn Darden, Lew Ayres",J. Lee Thompson,1970,Sci-fi,"Conquest of the Planet of the Apes, Escape from the Planet of the Apes, Dawn of the Planet of the Apes, War for the Planet of the Apes, Rise of the Planet of the Apes"
Ben Hur (1959),https://www.youtube.com/watch?v=2cK0U64klnA&t=54s,"epic, historical, drama, chariot-racing, revenge","Charlton Heston, Jack Hawkins, Stephen Boyd, Hugh Griffith, Martha Scott",William Wyler,1950,Epic,"Spartacus (1960), Gladiator (2000), The Ten Commandments (1956), Cleopatra (1963), The Robe (1953)"
Beneath the Planet of the Apes,https://www.youtube.com/watch?v=MpXAfgusW5c,"science fiction, dystopia, sequel, post-apocalyptic, adventure","James Franciscus, Kim Hunter, Maurice Evans, Linda Harrison, Charlton Heston",Ted Post,1970,Science-fiction,"Planet of the Apes, Escape from the Planet of the Apes, Conquest of the Planet of the Apes, Battle for the Planet of the Apes, War for the Planet of the Apes, Dawn of the Planet of the Apes, Rise of the Planet of the Apes"
Bethlehem,https://www.youtube.com/watch?v=gt1QPQosE5U,"Israeli-Palestinian conflict, drama, espionage, thriller, political","Tsahi Halevi, Shadi Mar'i, Hitham Omari, Michal Shtamler, Tarik Kopty",Yuval Adler,2010,Drama,"Fauda, The Gatekeepers, Paradise Now, Omar, Incendies"
Black Hawk Down (Extended Edition),https://www.youtube.com/watch?v=1eYkfMq80OA,"war, military, survival, intense, historical","Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, William Fichtner",Ridley Scott,2000,War,"Saving Private Ryan
Lone Survivor
Zero Dark Thirty
13 Hours: The Secret Soldiers of Benghazi
American Sniper
Platoon
Full Metal Jacket
The Hurt Locker
We Were Soldiers
Tears of the Sun"
Black Panther,https://youtu.be/5jCHcChxG5I?si=dy7PeEh5ruvuWMzA,"superhero, Marvel, action, adventure, Afrofuturism","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman",Ryan Coogler,2010,Superhero,"Avengers: Infinity War, Avengers: Endgame, Captain America: Civil War, Thor: Ragnarok, Iron Man, The Dark Knight, Wonder Woman, Guardians of the Galaxy"
Blackadder · S1,https://www.youtube.com/show/SCrYgZZhGzb90NliBJ0MXwVQ?season=1&sbp=CgEx,"historical, comedy, British, satire, clever","Rowan Atkinson, Brian Blessed, Elspet Gray, Tim McInnerny, Patrick Allen",Martin Shardlow,1980,Comedy,"Monty Python's Flying Circus, Fawlty Towers, The Young Ones, Yes Minister, Red Dwarf"
Blackkklansman,https://www.youtube.com/watch?v=PqCZhqoL7UI,"racism, undercover, based-on-true-story, 1970s, police","John David Washington, Adam Driver, Laura Harrier, Topher Grace, Jasper Pääkkönen",Spike Lee,2010,Drama,"Malcolm X, Selma, Do the Right Thing, Detroit, The Butler, 12 Years a Slave, Fruitvale Station"
Blade Runner,https://youtu.be/bU6Sw7qYfDk?si=lT6U6N75BAyS79hq,"sci-fi, dystopian, futuristic, noir, artificial intelligence","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, Daryl Hannah",Ridley Scott,1980,Sci-fi,"Ghost in the Shell, Minority Report, Total Recall, A.I. Artificial Intelligence, The Fifth Element"
Blade Runner 2049,https://youtu.be/CqGG2a1yAEw?si=7V46GU0PaT5P9a2_,"sci-fi, dystopian, sequel, visually-stunning, artificial-intelligence","Ryan Gosling, Harrison Ford, Ana de Armas, Sylvia Hoeks, Robin Wright",Denis Villeneuve,2010,Science-fiction,"Blade Runner, Ghost in the Shell, Minority Report, Total Recall, Ex Machina, A.I. Artificial Intelligence, The Fifth Element, Dredd, Gattaca, Her"
Blood Diamond,https://www.youtube.com/watch?v=Ref5IM8HA30,"conflict diamonds, thriller, political, action, Africa","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Arnold Vosloo, Antony Coleman",Edward Zwick,2000,Thriller,"The Last King of Scotland, Hotel Rwanda, The Constant Gardener, Lord of War, Catch a Fire, Beasts of No Nation, Tears of the Sun, The Ghost and the Darkness"
Body Heat,https://www.youtube.com/watch?v=CSsn4vYt1u4,"neo-noir, thriller, crime, romance, seduction","William Hurt, Kathleen Turner, Richard Crenna, Ted Danson, J.A. Preston",Lawrence Kasdan,1980,Thriller,"Double Indemnity, The Postman Always Rings Twice, Basic Instinct, Fatal Attraction, Chinatown"
Body of Evidence,https://www.youtube.com/watch?v=wznoO6UynHQ,"erotic thriller, courtroom drama, mystery, crime, 1990s","Madonna, Willem Dafoe, Joe Mantegna, Anne Archer, Julianne Moore",Uli Edel,1990,Thriller,"Basic Instinct, Fatal Attraction, Sliver, Disclosure, Jade"
Born of the Fourth of July,https://www.youtube.com/watch?v=xChCk6sp3u0,"Vietnam War, biographical drama, Tom Cruise, anti-war, 1980s film","Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans, Jamie Talisman",Oliver Stone,1980,Drama,"Platoon, Full Metal Jacket, The Deer Hunter, Apocalypse Now, Coming Home, Casualties of War, Good Morning, Vietnam, Forrest Gump, The Hurt Locker, Saving Private Ryan"
Bound,https://www.youtube.com/watch?v=LgKsHgmzNek,"thriller, crime, neo-noir, romance, suspense","Jennifer Tilly, Gina Gershon, Joe Pantoliano, John P. Ryan, Christopher Meloni","Lana Wachowski, Lilly Wachowski",1990,Thriller,"Basic Instinct, Body Heat, Fatal Attraction, Mulholland Drive, Wild Things"
Bram Stoker's Dracula,https://www.youtube.com/watch?v=e6qXVNsjmZc,"vampire, horror, romance, gothic, adaptation","Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves, Richard E. Grant",Francis Ford Coppola,1990,Horror,"Interview with the Vampire, Nosferatu, The Vampire Chronicles, The Witch, Sleepy Hollow, Gothic, Mary Shelley's Frankenstein"
Brave,https://www.youtube.com/watch?v=L8n2ew-1YdU,Loading...,"Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters, Robbie Coltrane","Mark Andrews, Brenda Chapman",2010,Adventure,"Moana, Mulan, Pocahontas, Tangled, Frozen"
Braveheart,https://www.youtube.com/watch?v=eBjvpfmxJG8,"historical, drama, war, epic, freedom","Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack, Brendan Gleeson",Mel Gibson,1990,Historical,"Gladiator, The Last Samurai, Troy, Kingdom of Heaven, Robin Hood"
Broken Arrow,https://youtu.be/XEvHBwgh5_0?si=4H8gOZehQWgm7Qvm,"action, thriller, military, espionage, suspense","John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton",John Woo,1990,Action,"Face/Off, Con Air, The Rock, Speed, Die Hard, Executive Decision, Air Force One"
Burn After Reading,https://www.youtube.com/watch?v=vLLzhcA0em0,"comedy, espionage, dark humor, thriller, Coen Brothers","George Clooney, Frances McDormand, Brad Pitt, John Malkovich, Tilda Swinton","Joel Coen, Ethan Coen",2000,Comedy,"Fargo, The Big Lebowski, A Serious Man, The Man Who Wasn't There, Intolerable Cruelty"
Camelot,https://www.youtube.com/watch?v=6paqGZmdngs,"medieval, fantasy, Arthurian legend, drama, romance","Richard Harris, Vanessa Redgrave, Franco Nero, David Hemmings, Lionel Jeffries",Joshua Logan,1960,Fantasy,"Excalibur, Merlin, The Sword in the Stone, King Arthur: Legend of the Sword, Arthur & Merlin"
Cape Fear,https://www.youtube.com/watch?v=xyY4Eyp65lk,"psychological thriller, crime, revenge, suspense, stalker","Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis, Joe Don Baker","J. Lee Thompson, Martin Scorsese",1960,Thriller,"Sleeping with the Enemy, Fatal Attraction, The Hand That Rocks the Cradle, Unlawful Entry, Pacific Heights"
Capitalism: A Love Story,https://www.youtube.com/watch?v=42-p7ts7n7U,"documentary, economic-critique, political, capitalism, Michael-Moore","Michael Moore, Wallace Shawn, William Black, Jimmy Carter, Thora Birch",Michael Moore,2000,Documentary,"The Big Short, Inside Job, Enron: The Smartest Guys in the Room, Sicko, Fahrenheit 9/11, Corporation"
Carlito's Way,https://www.youtube.com/watch?v=4CvQATzAoK8,Loading...,"Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo, Luis Guzmán",Brian De Palma,1990,Crime,"Scarface, The Godfather, Goodfellas, Casino, Donnie Brasco, The Untouchables, A Bronx Tale, Heat"
Casino,https://youtu.be/nUTsf6EUSjs?si=AIIjuOYtw0uV3fFk,"crime, drama, mafia, gambling, Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles",Martin Scorsese,1990,Crime,"Goodfellas, The Godfather, Scarface, Donnie Brasco, Carlito's Way, The Untouchables, American Gangster, The Departed, Heat, Once Upon a Time in America"
Casino Royale,https://www.youtube.com/watch?v=-9TZJHejccw,Loading...,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright",Martin Campbell,2000,Action,"Quantum of Solace, Skyfall, Spectre, No Time to Die, GoldenEye, The World is Not Enough, Die Another Day, Mission: Impossible – Fallout, The Bourne Identity, The Bourne Supremacy"
"Cell, The",https://www.youtube.com/watch?v=MngFXat6sgs&t=29s,"psychological, thriller, horror, surreal, science-fiction","Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio, Colton James, Dylan Baker",Tarsem Singh,2000,Horror,"Inception, Memento, Shutter Island, Jacob's Ladder, The Butterfly Effect, Donnie Darko, Black Swan"
